Time,N=1,N=2,N=3,N=4,N=5,N=6,Time
4,3.5432896,3.6041536,3.564237227,4.845947733,3.376329813,4.938653867,4000
6,6.914222933,9.516679253,9.342016,11.06838357,8.88186752,11.69225003,6000
8,10.37932885,15.23344981,20.74400299,19.23125973,16.67460523,19.99945813,8000
10,13.83907627,21.27539157,30.97007147,29.85048832,27.07655723,30.66300885,10000
12,17.38682581,27.37756331,40.55571797,40.64642901,40.10624171,43.75438635,12000
14,21.07037739,33.66715861,49.31162624,51.75749504,53.49976875,59.64391936,14000
16,24.81572523,42.96629632,58.29192619,63.32838613,67.0611968,75.97401472,16000
18,28.48387328,50.72634965,67.43957675,75.10179584,80.99100288,92.90580352,18000
20,32.21575253,57.22236757,77.95613952,87.09082496,95.13279403,110.205449,20000
22,35.71962496,63.42250325,87.67750229,99.025472,109.3167215,127.5060851,22000
24,39.16209237,69.54685739,99.06062635,111.3004804,123.3020672,144.7067652,24000
26,42.90503893,76.04677205,108.2903219,123.4132215,137.6152597,162.8558699,26000
28,47.63763925,82.47637547,116.9969182,136.2788279,151.5570761,184.5784307,28000
30,51.40738261,88.88566869,125.9413606,151.0188501,165.3723119,203.3606383,30000
32,55.0679424,95.50850091,135.3404629,163.1656862,179.2666317,221.6108442,32000
34,59.10614485,102.7362816,145.4241468,176.555584,194.1162261,239.3240107,34000
36,62.57415765,109.3834244,155.3629146,189.8181154,208.6989261,261.5725431,36000
38,66.24314112,115.6311411,165.4596702,202.9620715,223.4801805,280.302848,38000
40,70.06423083,122.3488495,175.0575215,215.9349303,238.5424158,308.6671279,40000
42,73.45958613,128.8230234,184.608358,229.9896205,253.2695014,326.5644523,42000
44,76.80523392,135.3064969,193.4197978,241.978726,267.4364053,348.8786714,44000
46,80.07972224,142.1851985,202.0871991,253.6461278,281.1156873,367.4832853,46000
48,83.94291925,149.1249007,212.0180655,264.911223,294.9432341,388.3156992,48000
50,87.83240021,156.3914082,222.4554752,276.9168887,308.7966703,405.7726942,50000
52,91.72747477,163.5286067,232.7935748,289.6347349,323.2824141,423.9070963,52000
54,95.21049301,170.0566639,242.2956698,302.67369,337.8810381,441.7432405,54000
56,99.24002475,176.6384422,251.9417323,315.5496294,353.0587503,459.9324122,56000
58,102.9724228,182.9357577,261.1458778,328.5921673,367.7613487,478.0835708,58000
60,106.688768,189.3560081,270.680745,340.4604681,382.5165414,496.2219533,60000
62,112.6964881,196.3359646,280.1974647,354.1335061,397.1190067,515.1018436,62000
64,118.6111177,203.4171686,290.1246784,367.2038259,412.089414,533.6418752,64000
66,122.7294054,210.0779516,300.0396745,380.0329045,427.1400862,552.0064695,66000
68,126.6406848,216.7101577,309.620509,392.8784862,442.4938539,570.4436041,68000
70,130.3819874,223.2935279,319.3775782,405.368102,457.7300855,589.0757154,70000
72,134.4774558,229.7961229,328.7410573,417.6060164,472.6105591,607.7640627,72000
74,138.9193161,237.1303211,338.7846434,432.1781645,488.6710643,626.9395985,74000
76,142.4024969,244.0880627,348.6530624,445.4645018,503.9200149,646.4169647,76000
78,146.0765009,250.2645555,358.5466935,457.9698944,518.9142285,665.0829824,78000
80,149.6388723,256.36784,367.303578,470.2332574,533.5749133,684.0030404,80000
82,153.3237342,262.71911,376.3463505,481.6491358,550.2167761,702.1515017,82000
84,157.1904567,269.2781909,385.9210121,493.8370057,565.8832934,720.2548804,84000
86,161.0799445,276.1157905,395.6215565,505.6257293,580.6397295,737.4556335,86000
88,165.1604548,283.0314244,405.1350938,517.7069197,595.2057041,754.9382003,88000
90,168.9921818,290.4444954,414.509222,529.9230101,609.8770197,772.9748245,90000
92,172.7056947,299.4380049,423.7183369,542.1833404,624.9237099,791.1178863,92000
94,176.5684284,307.998615,432.5657758,555.7465024,639.7700015,808.915398,94000
96,180.8239727,320.7986786,442.1304917,568.4968081,654.3809075,826.6738948,96000
98,184.795168,329.8963942,452.1613222,582.1538697,672.4773461,844.7866509,98000
100,188.5816367,336.7986829,462.2596028,594.8086302,686.8310093,862.3691294,100000
