Time,c=10,c=20,c=30,c=40,c=50,c=60,Time
4,0.98875,0.98125,0.99575,0.99575,0.99675,0.99825,4000
6,0.985166667,0.983666667,0.994333333,0.994833333,0.9955,0.9965,6000
8,0.983625,0.986,0.994375,0.995125,0.995625,0.996625,8000
10,0.9825,0.9868,0.9938,0.9943,0.9948,0.996,10000
12,0.981833333,0.987583333,0.993666667,0.994083333,0.9945,0.995583333,12000
14,0.978,0.988214286,0.9935,0.994,0.994571429,0.995714286,14000
16,0.9758125,0.988875,0.9936875,0.9941875,0.9946875,0.995625,16000
18,0.974444444,0.989277778,0.993722222,0.994111111,0.994666667,0.9955,18000
20,0.9724,0.9895,0.99365,0.99415,0.99475,0.99545,20000
22,0.972363636,0.989772727,0.993727273,0.994227273,0.994772727,0.995454545,22000
24,0.972583333,0.989875,0.993625,0.994208333,0.99475,0.9955,24000
26,0.972192308,0.989730769,0.993423077,0.994076923,0.994653846,0.995346154,26000
28,0.971857143,0.989535714,0.993392857,0.993964286,0.994607143,0.99525,28000
30,0.971733333,0.989666667,0.993233333,0.9938,0.9945,0.995133333,30000
32,0.97121875,0.98946875,0.993,0.9935,0.9943125,0.99496875,32000
34,0.970235294,0.989441176,0.993,0.993529412,0.994294118,0.995058824,34000
36,0.969555556,0.989416667,0.992944444,0.993472222,0.994222222,0.995055556,36000
38,0.969105263,0.989605263,0.993105263,0.993657895,0.994342105,0.995184211,38000
40,0.96905,0.98955,0.993025,0.993725,0.99435,0.9952,40000
42,0.969071429,0.989761905,0.993071429,0.993833333,0.994428571,0.995238095,42000
44,0.968909091,0.990022727,0.99325,0.993977273,0.994545455,0.99525,44000
46,0.968521739,0.990108696,0.99326087,0.993956522,0.994478261,0.995195652,46000
48,0.967895833,0.990041667,0.9930625,0.993791667,0.994291667,0.995041667,48000
50,0.96766,0.98994,0.99288,0.99362,0.9942,0.99494,50000
52,0.967403846,0.989961538,0.992826923,0.993634615,0.994192308,0.994903846,52000
54,0.967148148,0.989814815,0.992648148,0.993518519,0.994055556,0.994777778,54000
56,0.967,0.989821429,0.992625,0.993571429,0.994196429,0.994803571,56000
58,0.967172414,0.989844828,0.99262069,0.993603448,0.994258621,0.994827586,58000
60,0.967333333,0.990016667,0.992716667,0.9937,0.994366667,0.994866667,60000
62,0.967209677,0.989967742,0.992629032,0.993677419,0.994419355,0.994919355,62000
64,0.967546875,0.98990625,0.99253125,0.993671875,0.994390625,0.99490625,64000
66,0.967893939,0.989984848,0.992575758,0.99369697,0.994393939,0.994909091,66000
68,0.968029412,0.989970588,0.992485294,0.993661765,0.994352941,0.994867647,68000
70,0.968157143,0.989885714,0.9924,0.993585714,0.9943,0.994828571,70000
72,0.968111111,0.989722222,0.99225,0.993430556,0.994194444,0.994708333,72000
74,0.968121622,0.989554054,0.992108108,0.993378378,0.994135135,0.994635135,74000
76,0.968210526,0.989565789,0.992118421,0.993407895,0.994157895,0.994644737,76000
78,0.9685,0.989615385,0.992141026,0.993448718,0.994192308,0.994692308,78000
80,0.9688625,0.989625,0.9921,0.993475,0.994225,0.9946875,80000
82,0.968987805,0.989560976,0.992036585,0.993390244,0.994146341,0.994560976,82000
84,0.969142857,0.989642857,0.992059524,0.993416667,0.994190476,0.994583333,84000
86,0.969290698,0.989627907,0.992046512,0.993395349,0.994186047,0.994581395,86000
88,0.96925,0.989613636,0.992034091,0.993375,0.994193182,0.994568182,88000
90,0.969033333,0.989622222,0.992044444,0.993366667,0.994244444,0.994611111,90000
92,0.968836957,0.989576087,0.992,0.993336957,0.99426087,0.994608696,92000
94,0.968904255,0.989617021,0.992042553,0.993351064,0.994265957,0.994617021,94000
96,0.968927083,0.989645833,0.9920625,0.993375,0.99428125,0.994625,96000
98,0.968959184,0.989673469,0.992081633,0.993377551,0.994316327,0.994622449,98000
100,0.96895,0.9897,0.99213,0.99341,0.99434,0.99464,100000
