Time(K),Knn200,Knn100,ECSMiner,AlphaKmeans,Time
4,0.97925,0.9735,0.9955,0.99675,4000
6,0.9805,0.973666667,0.99,0.9955,6000
8,0.981625,0.97475,0.994,0.995375,8000
10,0.9822,0.9745,0.9917,0.9949,10000
12,0.982333333,0.975333333,0.99075,0.994666667,12000
14,0.9825,0.975357143,0.993214286,0.994714286,14000
16,0.982375,0.9756875,0.992,0.994875,16000
18,0.981888889,0.975055556,0.993666667,0.994833333,18000
20,0.98175,0.9752,0.99305,0.99485,20000
22,0.981863636,0.975454545,0.992181818,0.994863636,22000
24,0.982,0.975458333,0.991583333,0.994833333,24000
26,0.982538462,0.975884615,0.993038462,0.994692308,26000
28,0.982464286,0.975642857,0.992392857,0.994607143,28000
30,0.982466667,0.9758,0.993566667,0.994533333,30000
32,0.9823125,0.97546875,0.9929375,0.99434375,32000
34,0.982470588,0.975294118,0.992411765,0.994441176,34000
36,0.9825,0.975388889,0.993388889,0.9945,36000
38,0.982552632,0.975368421,0.993026316,0.994631579,38000
40,0.9826,0.975225,0.9926,0.994675,40000
42,0.982738095,0.975214286,0.992333333,0.994738095,42000
44,0.982818182,0.975181818,0.993068182,0.994863636,44000
46,0.982652174,0.974891304,0.992369565,0.994804348,46000
48,0.982729167,0.974895833,0.993104167,0.994625,48000
50,0.98276,0.97496,0.99242,0.99454,50000
52,0.982538462,0.974730769,0.992884615,0.9945,52000
54,0.9825,0.974833333,0.9925,0.99437037,54000
56,0.9825,0.974625,0.992089286,0.994339286,56000
58,0.982362069,0.974448276,0.992603448,0.99437931,58000
60,0.982333333,0.9745,0.9923,0.99445,60000
62,0.982290323,0.974564516,0.99216129,0.994516129,62000
64,0.98234375,0.974703125,0.991953125,0.9945,64000
66,0.982318182,0.974651515,0.992333333,0.994484848,66000
68,0.982264706,0.974602941,0.991985294,0.994455882,68000
70,0.982271429,0.9745,0.992442857,0.994414286,70000
72,0.982236111,0.974347222,0.992013889,0.994305556,72000
74,0.982310811,0.974391892,0.991864865,0.99422973,74000
76,0.982315789,0.974381579,0.992263158,0.994210526,76000
78,0.982307692,0.974384615,0.992051282,0.994230769,78000
80,0.98225,0.9743125,0.991825,0.9942625,80000
82,0.982292683,0.974402439,0.991585366,0.994170732,82000
84,0.982357143,0.97452381,0.99202381,0.994214286,84000
86,0.982290698,0.974476744,0.991790698,0.994186047,86000
88,0.982261364,0.974431818,0.992136364,0.994159091,88000
90,0.9823,0.974388889,0.991944444,0.994211111,90000
92,0.982358696,0.974478261,0.991771739,0.994217391,92000
94,0.98237234,0.974542553,0.991702128,0.994234043,94000
96,0.9824375,0.97453125,0.99203125,0.994239583,96000
98,0.982418367,0.974530612,0.991877551,0.994244898,98000
100,0.98233,0.97445,0.99165,0.99428,100000
