Time,k=1,k=2,k=3,k=4,k=5,k=6,Time
4,3.376329813,3.59605888,3.4892224,4.638798933,3.984683093,4.995086933,4000
6,8.88186752,9.41034112,9.158592427,10.50757547,9.965947733,11.56598101,6000
8,16.67460523,17.47038336,18.68260011,18.61301547,18.49192832,20.30164565,8000
10,27.07655723,28.10016043,29.70725547,29.60386176,29.63476395,31.70510891,10000
12,40.10624171,41.40277376,46.07484715,42.8758912,43.42031701,45.51869995,12000
14,53.49976875,55.41436032,61.59761835,56.48233899,57.66007083,59.44348843,14000
16,67.0611968,69.52407253,78.04518784,71.42516608,72.10855851,73.88728021,16000
18,80.99100288,84.04728277,94.48881835,86.36665173,88.18070528,88.46267989,18000
20,95.13279403,98.91043968,111.1271091,101.734083,103.0823202,103.6053658,20000
22,109.3167215,113.7864951,128.1700348,116.8238955,118.9518029,119.1449425,22000
24,123.3020672,128.3419644,145.1323362,131.8685854,133.6535812,133.7447505,24000
26,137.6152597,147.5589333,161.6359458,147.0132378,148.2020877,148.7061478,26000
28,151.5570761,163.4042679,177.9221619,162.2963204,162.7579746,163.7686963,28000
30,165.3723119,182.0462396,194.920137,177.1064252,177.1862106,178.6342059,30000
32,179.2666317,199.8176201,211.1731255,192.6995729,191.9457933,193.0984013,32000
34,194.1162261,215.3033438,229.3439232,208.6993169,207.5436241,208.7897254,34000
36,208.6989261,230.2952009,249.1758955,224.4300203,222.9735211,224.0721242,36000
38,223.4801805,247.4770453,267.9402086,239.7795597,238.5169963,240.346045,38000
40,238.5424158,263.5331776,285.2943842,256.7624721,255.7848887,255.707671,40000
42,253.2695014,278.5045756,303.1119782,273.0251977,271.5196838,271.5492719,42000
44,267.4364053,293.2608009,317.2052245,288.3164356,286.7215014,286.1543842,44000
46,281.1156873,307.4232777,331.2657097,302.6628864,304.0536533,300.7079151,46000
48,294.9432341,321.7825963,345.6332297,317.6476343,318.8612352,315.2550319,48000
50,308.7966703,336.0711731,359.8918874,331.9686908,333.9001075,329.5726784,50000
52,323.2824141,351.0348864,374.5485325,350.0538701,349.3311471,345.0794108,52000
54,337.8810381,366.1889485,393.5592947,365.6408427,365.1271881,360.4347145,54000
56,353.0587503,381.6356749,410.5985173,383.5592486,386.4723883,376.8150583,56000
58,367.7613487,396.5299657,425.8786492,399.5815454,404.5492348,392.094743,58000
60,382.5165414,412.8604501,441.7185698,414.8077163,424.6351851,407.3602436,60000
62,397.1190067,428.9048755,457.5833924,430.0008525,443.5898897,422.8155247,62000
64,412.089414,444.3593745,475.6600538,445.948631,461.3736529,438.1506684,64000
66,427.1400862,459.7796924,491.4851285,461.7175095,477.1449557,453.6185754,66000
68,442.4938539,475.7931439,508.4809037,477.9319488,493.8867298,470.0844723,68000
70,457.7300855,491.6543202,524.3261086,494.3397269,510.6639441,487.0366157,70000
72,472.6105591,506.9937664,539.9035674,510.6451085,526.6155703,503.9497161,72000
74,488.6710643,522.948634,556.8978701,527.1664887,542.9827089,520.8449937,74000
76,503.9200149,538.6716339,572.9225591,543.195805,559.3646293,537.5007714,76000
78,518.9142285,554.2831718,587.974074,559.2007851,576.3605888,553.7467733,78000
80,533.5749133,569.4736678,605.2563179,575.3549577,592.9914253,569.4725615,80000
82,550.2167761,584.6214451,621.132329,591.2902157,608.8768367,585.9656896,82000
84,565.8832934,598.9071415,636.0818321,606.4680213,623.8630417,600.8801173,84000
86,580.6397295,613.999136,650.9710118,621.9189385,638.8205717,616.6320286,86000
88,595.2057041,628.7735134,666.7414938,637.252742,653.8719415,632.3996962,88000
90,609.8770197,643.761065,682.0444834,652.4500642,669.4764062,648.8296346,90000
92,624.9237099,658.8104282,698.5062229,667.6114731,684.9339119,664.364099,92000
94,639.7700015,673.5649267,713.5754146,682.8331994,700.5835294,680.2164838,94000
96,654.3809075,688.4999403,728.7072627,697.9498603,715.9102447,696.3288947,96000
98,672.4773461,703.2664034,743.8269794,713.0707529,731.0232375,713.7113169,98000
100,686.8310093,718.1255932,758.6633169,728.386432,746.2137344,728.7866342,100000
