Time,w=100,w=500,w=1000,w=1500,w=2000,w=2500,
2000, 7.58075349333, 5.34236757333, 1.92945237333, 1.42826453333, 0.12680576, 0.13277056,
4000, 17.8117149867, 16.9413521067, 9.01962624, 5.85236821333, 3.37632981333, 3.04362410667,
6000, 26.83567616, 29.0251605333, 20.6665506133, 13.23924608, 8.88186752, 7.90627754667,
8000, 35.04326144, 40.8622011733, 33.1200110933, 24.84859904, 16.6746052267, 14.55315456,
10000, 43.2590894933, 53.63563776, 48.4780462933, 37.69889408, 27.0765572267, 23.3833988267,
12000, 51.52145792, 65.5777821867, 61.7012151467, 51.1017864533, 40.1062417067, 37.04469632,
14000, 59.8470229333, 77.2443413333, 74.8061666133, 65.2876689067, 53.4997687467, 50.7219285333,
16000, 67.9810914133, 88.8654702933, 87.86514304, 79.08792704, 67.0611968, 65.40593664,
18000, 76.51158144, 100.830080853, 100.553979307, 92.8299733333, 80.99100288, 81.0965393067,
20000, 84.7919210667, 112.81874688, 113.51223424, 107.237171627, 95.1327940267, 95.3417719467,
22000, 92.7984785067, 124.371312213, 128.865664427, 120.99316608, 109.316721493, 110.430298453,
24000, 101.26298752, 136.05802112, 142.09787136, 134.6524864, 123.3020672, 125.7620224,
26000, 109.456950187, 148.154628693, 155.337650347, 149.18765952, 137.615259733, 141.055976107,
28000, 117.763143253, 158.879799467, 167.78369024, 162.62245248, 151.557076053, 156.020468907,
30000, 126.337227947, 171.549828693, 182.609658027, 176.17526528, 165.372311893, 169.835466667,
32000, 135.000864, 184.748566613, 195.314862933, 190.275757227, 179.26663168, 185.022667947,
34000, 143.582586027, 198.121178027, 211.318933333, 206.309105493, 194.116226133, 200.639706453,
36000, 151.95093376, 211.02743808, 225.029046613, 223.419474347, 208.69892608, 216.462537387,
38000, 160.547868587, 223.209416533, 238.574002773, 238.338198187, 223.48018048, 232.316689493,
40000, 169.401564587, 235.529348693, 253.000058027, 253.266454187, 238.542415787, 247.409800533,
42000, 180.574855253, 247.226010027, 266.353383253, 267.09891328, 253.26950144, 263.524727467,
44000, 190.035481173, 258.84388736, 281.2509248, 280.76998912, 267.436405333, 279.861341013,
46000, 200.58169088, 270.894450347, 293.833792853, 293.8196672, 281.115687253, 296.22332416,
48000, 211.11716224, 284.243494827, 307.495362987, 307.577341867, 294.943234133, 311.9743424,
50000, 220.37172608, 296.544772693, 321.801209173, 322.738513493, 308.796670293, 326.917617067,
52000, 229.715275947, 310.467328427, 335.854015147, 337.919534933, 323.28241408, 343.48217472,
54000, 238.37840512, 323.328273067, 349.99228544, 352.81607296, 337.88103808, 360.145823147,
56000, 247.05682304, 334.96722304, 363.44230528, 367.604966827, 353.058750293, 376.734165333,
58000, 255.925428907, 347.679825067, 376.920407893, 381.449691307, 367.761348693, 392.858131627,
60000, 266.080823893, 360.5980992, 390.843877547, 395.3712128, 382.51654144, 408.6774784,
62000, 280.507989333, 372.91999616, 404.845716053, 410.633745493, 397.11900672, 425.820308907,
64000, 295.381303467, 385.12097536, 418.457220267, 425.228363947, 412.089413973, 442.062626987,
66000, 310.446672213, 397.95956608, 432.047074133, 439.876168533, 427.140086187, 460.491226453,
68000, 325.579723093, 411.582733227, 445.95933184, 455.06850816, 442.493853867, 479.344548693,
70000, 337.928027733, 425.04172032, 460.12217216, 469.529610667, 457.730085547, 496.314766933,
72000, 346.65141888, 437.435084373, 476.765905493, 483.899909973, 472.610559147, 513.17226496,
74000, 355.19391488, 450.10954752, 491.760713387, 499.682589013, 488.67106432, 530.010243413,
76000, 363.569066667, 462.461283413, 507.23371264, 514.600939947, 503.920014933, 546.683094613,
78000, 371.97635968, 474.519868587, 523.176132267, 528.76204672, 518.91422848, 562.939688533,
80000, 380.47381888, 486.810362453, 536.25874176, 544.030091947, 533.57491328, 577.90969984,
82000, 388.566092373, 498.767510613, 549.360526933, 557.7079168, 550.216776107, 594.02083456,
84000, 396.662059093, 510.433172053, 562.476204373, 571.084288853, 565.88329344, 609.93643776,
86000, 405.074234027, 522.77536384, 575.663124907, 585.35711616, 580.639729493, 625.507838293,
88000, 413.697436587, 535.331550293, 589.28866432, 599.197298347, 595.205704107, 640.820919893,
90000, 426.7132864, 547.105791573, 603.3622336, 612.977907627, 609.877019733, 655.375325867,
92000, 435.877952853, 558.640855893, 616.263040853, 627.508605867, 624.923709867, 670.645901653,
94000, 448.410746027, 570.467432107, 629.21229056, 641.309489067, 639.770001493, 686.275449173,
96000, 456.647357013, 582.211918507, 642.185177173, 655.592349013, 654.38090752, 702.40505088,
98000, 465.319245227, 594.23231616, 655.33632, 670.297122987, 672.477346133, 718.33636736,
100000, 473.976918613, 606.992009813, 668.724709547, 684.607555413, 686.83100928, 733.39823616,
